material_identifier,material_name,formula,represented_phase_or_polymorph,phase_identity_source,symmetry,space_group,formula_units_per_cell,equation_kinds,eos_record_count,input_file
akimotoite,Akimotoite,MgSiO3,ilmenite-type (akimotoite),top-level phase field,TRIGONAL,R-3,6,isothermal,7,peritheos/data/materials/akimotoite.eosmat
al2o3_perovskite,Al2O3 perovskite model crystal,Al2O3,hypothetical orthorhombic Pbnm perovskite model crystal,top-level phase field,ORTHORHOMBIC,Pbnm,4,isothermal,2,peritheos/data/materials/al2o3_perovskite.eosmat
al2o3_post_perovskite,Al2O3 post-perovskite model crystal,Al2O3,hypothetical CaIrO3-type Cmcm post-perovskite model crystal,top-level phase field,ORTHORHOMBIC,Cmcm,4,isothermal,1,peritheos/data/materials/al2o3_post_perovskite.eosmat
al_bearing_phase_d,Al-bearing phase D,Mg0.90Al0.64Si1.29H3.10O6,"Al-bearing trigonal phase D, P-31m",top-level phase field,HEXAGONAL,P-31m,1,isothermal,1,peritheos/data/materials/al_bearing_phase_d.eosmat
almandine,Almandine,Fe3Al2Si3O12,Almandine,material name plus crystal structure,CUBIC,Ia-3d,8,isothermal,1,peritheos/data/materials/almandine.eosmat
alpha_quartz,Alpha quartz,SiO2,Alpha quartz,material name plus crystal structure,TRIGONAL,P3221,3,isothermal,2,peritheos/data/materials/alpha_quartz.eosmat
alumina,Alumina,Al2O3,"corundum, trigonal R-3c (hexagonal setting)",top-level phase field,HEXAGONAL,R-3c,6,isothermal;thermal,2,peritheos/data/materials/alumina.eosmat
alumina_rh2o3_ii,Rh2O3(II)-type alumina,Al2O3,"Rh2O3(II)-type, orthorhombic Pbcn",top-level phase field,ORTHORHOMBIC,Pbcn,4,thermal,1,peritheos/data/materials/alumina_rh2o3_ii.eosmat
aluminum,Aluminum,Al,Aluminum,material name plus crystal structure,CUBIC,Fm-3m,4,isothermal;thermal,2,peritheos/data/materials/aluminum.eosmat
aragonite,Aragonite,CaCO3,Aragonite,material name plus crystal structure,ORTHORHOMBIC,Pmcn,4,thermal,1,peritheos/data/materials/aragonite.eosmat
argon_hcp,Argon,Ar,Argon,material name plus crystal structure,HEXAGONAL,P63/mmc,2,isothermal,1,peritheos/data/materials/argon_hcp.eosmat
b4c,B4C,B4C,rhombohedral B4C,top-level phase field,HEXAGONAL,R-3m,9,thermal,3,peritheos/data/materials/b4c.eosmat
boron_nitride,Boron Nitride,BN,cubic zinc-blende,top-level phase field,CUBIC,F-43m,4,isothermal;thermal,2,peritheos/data/materials/boron_nitride.eosmat
boron_nitride_hexagonal,Boron nitride (hexagonal),BN,Boron nitride (hexagonal),material name plus crystal structure,HEXAGONAL,P63/mmc,2,isothermal,1,peritheos/data/materials/boron_nitride_hexagonal.eosmat
boron_phosphide,Boron phosphide,BP,Boron phosphide,material name plus crystal structure,CUBIC,F-43m,4,isothermal,1,peritheos/data/materials/boron_phosphide.eosmat
bridgmanite,Bridgmanite,MgSiO3,Bridgmanite,material name plus crystal structure,ORTHORHOMBIC,Pbnm,4,thermal;isothermal,16,peritheos/data/materials/bridgmanite.eosmat
ca0988mg0918fe0078mn0016c2o6_dolomite,Natural Fe-bearing dolomite,Ca0.988Mg0.918Fe0.078Mn0.016C2O6,"trigonal ferroan dolomite, R-3",top-level phase field,TRIGONAL,R-3,3,isothermal,1,peritheos/data/materials/ca0988mg0918fe0078mn0016c2o6_dolomite.eosmat
ca0988mg0918fe0078mn0016c2o6_dolomite_iii,Natural Fe-bearing dolomite-III,Ca0.988Mg0.918Fe0.078Mn0.016C2O6,"monoclinic Fe-dolomite-III indexing cell, structure unresolved",top-level phase field,MONOCLINIC,,3,isothermal,2,peritheos/data/materials/ca0988mg0918fe0078mn0016c2o6_dolomite_iii.eosmat
ca_perovskite,Ca-perovskite,CaSiO3,Ca-perovskite,material name plus crystal structure,CUBIC,Pm-3m,1,isothermal;thermal,17,peritheos/data/materials/ca_perovskite.eosmat
ca_perovskite_tetragonal,Tetragonal CaSiO3 perovskite (davemaoite),CaSiO3,"pure tetragonal CaSiO3 perovskite (davemaoite), I4/mcm",top-level phase field,TETRAGONAL,I4/mcm,4,isothermal,1,peritheos/data/materials/ca_perovskite_tetragonal.eosmat
cairo3_perovskite,CaIrO3 perovskite,CaIrO3,"perovskite-type, orthorhombic Pbnm",top-level phase field,ORTHORHOMBIC,Pbnm,4,isothermal,1,peritheos/data/materials/cairo3_perovskite.eosmat
cairo3_post_perovskite,CaIrO3 post-perovskite,CaIrO3,"post-perovskite-type, orthorhombic Cmcm",top-level phase field,ORTHORHOMBIC,Cmcm,4,isothermal,1,peritheos/data/materials/cairo3_post_perovskite.eosmat
calcite,Calcite,CaCO3,Calcite,material name plus crystal structure,TRIGONAL,R-3c,6,isothermal,1,peritheos/data/materials/calcite.eosmat
calcium_carbonate_post_aragonite,Calcium carbonate (post-aragonite Pmmn),CaCO3,Calcium carbonate (post-aragonite Pmmn),material name plus crystal structure,ORTHORHOMBIC,Pmmn,2,isothermal;thermal,2,peritheos/data/materials/calcium_carbonate_post_aragonite.eosmat
calcium_germanate_perovskite,Calcium germanate perovskite,CaGeO3,orthorhombic GdFeO3-type perovskite,top-level phase field,ORTHORHOMBIC,Pbnm,4,isothermal,1,peritheos/data/materials/calcium_germanate_perovskite.eosmat
calcium_titanate_perovskite,Calcium titanate perovskite,CaTiO3,orthorhombic GdFeO3-type perovskite,top-level phase field,ORTHORHOMBIC,Pbnm,4,isothermal,1,peritheos/data/materials/calcium_titanate_perovskite.eosmat
cao,CaO,CaO,CaO,material name plus crystal structure,CUBIC,Fm-3m,4,isothermal,1,peritheos/data/materials/cao.eosmat
cao_b2,CaO-b2,CaO,CaO-b2,material name plus crystal structure,CUBIC,Pm-3m,1,isothermal,1,peritheos/data/materials/cao_b2.eosmat
